Wavelength (nm);Interpolated Responsivity (A/W);Quantum Efficiency
782;0.57160;0.90627
783;0.57254;0.90659
784;0.57348;0.90692
785;0.57442;0.90725
786;0.57536;0.90757
787;0.57612;0.90762
788;0.57687;0.90765
789;0.57762;0.90767
790;0.57837;0.90770
791;0.57918;0.90782
792;0.58011;0.90814
793;0.58105;0.90846
794;0.58198;0.90877
795;0.58292;0.90909
796;0.58372;0.90920
797;0.58447;0.90923
798;0.58522;0.90925
799;0.58597;0.90928
800;0.58672;0.90930
801;0.58747;0.90933
802;0.58822;0.90935
803;0.58897;0.90938
804;0.58972;0.90940
805;0.59047;0.90943
806;0.59122;0.90946
807;0.59197;0.90948
808;0.59272;0.90951
809;0.59348;0.90954
810;0.59423;0.90956
811;0.59498;0.90959
812;0.59573;0.90961
813;0.59647;0.90964
814;0.59722;0.90966
815;0.59797;0.90968
816;0.59872;0.90971
817;0.59947;0.90973
818;0.60022;0.90976
819;0.60097;0.90978
820;0.60172;0.90980
821;0.60247;0.90983
822;0.60322;0.90985
823;0.60397;0.90987
824;0.60453;0.90961
825;0.60509;0.90936
826;0.60565;0.90910
827;0.60621;0.90884
828;0.60685;0.90869
829;0.60760;0.90872
830;0.60835;0.90875
831;0.60910;0.90877
832;0.60985;0.90880
833;0.61046;0.90861
834;0.61102;0.90836
835;0.61158;0.90810
836;0.61214;0.90785
837;0.61273;0.90764
838;0.61348;0.90766
839;0.61423;0.90769
840;0.61498;0.90771
841;0.61573;0.90774
842;0.61638;0.90762
843;0.61694;0.90737
844;0.61751;0.90712
845;0.61807;0.90687
846;0.61863;0.90663
847;0.61919;0.90638
848;0.61975;0.90613
849;0.62032;0.90588
850;0.62088;0.90563
851;0.62144;0.90539
852;0.62200;0.90515
853;0.62256;0.90490
854;0.62313;0.90466
855;0.62369;0.90442
856;0.62413;0.90399
857;0.62450;0.90348
858;0.62488;0.90297
859;0.62525;0.90246
860;0.62564;0.90197
861;0.62620;0.90173
862;0.62676;0.90149
863;0.62733;0.90126
864;0.62789;0.90102
865;0.62845;0.90079
866;0.62901;0.90055
867;0.62957;0.90031
868;0.63014;0.90008
869;0.63070;0.89984
870;0.63110;0.89939
871;0.63148;0.89889
872;0.63185;0.89839
873;0.63223;0.89789
874;0.63260;0.89740
875;0.63298;0.89690
876;0.63335;0.89641
877;0.63373;0.89592
878;0.63410;0.89543
879;0.63459;0.89509
880;0.63515;0.89487
881;0.63571;0.89465
882;0.63628;0.89443
883;0.63684;0.89420
884;0.63722;0.89372
885;0.63759;0.89324
886;0.63797;0.89275
887;0.63834;0.89227
888;0.63872;0.89179
889;0.63909;0.89131
890;0.63947;0.89083
891;0.63984;0.89035
892;0.64022;0.88987
893;0.64045;0.88920
894;0.64064;0.88847
895;0.64083;0.88774
896;0.64102;0.88701
897;0.64123;0.88631
898;0.64160;0.88584
899;0.64198;0.88538
900;0.64235;0.88491
901;0.64273;0.88444
902;0.64310;0.88398
903;0.64348;0.88351
904;0.64385;0.88305
905;0.64423;0.88259
906;0.64460;0.88212
907;0.64481;0.88143
908;0.64499;0.88072
909;0.64518;0.88000
910;0.64537;0.87929
911;0.64555;0.87858
912;0.64574;0.87787
913;0.64593;0.87716
914;0.64612;0.87646
915;0.64631;0.87576
916;0.64649;0.87506
917;0.64668;0.87435
918;0.64687;0.87365
919;0.64705;0.87295
920;0.64724;0.87225
921;0.64743;0.87156
922;0.64762;0.87087
923;0.64780;0.87018
924;0.64799;0.86949
925;0.64818;0.86880
926;0.64837;0.86811
927;0.64855;0.86743
928;0.64874;0.86674
929;0.64893;0.86606
930;0.64911;0.86537
931;0.64930;0.86470
932;0.64949;0.86402
933;0.64968;0.86334
934;0.64987;0.86267
935;0.65005;0.86199
936;0.65024;0.86132
937;0.65043;0.86065
938;0.65061;0.85997
939;0.65069;0.85916
940;0.65069;0.85825
941;0.65069;0.85734
942;0.65069;0.85643
943;0.65069;0.85552
944;0.65069;0.85461
945;0.65069;0.85371
946;0.65069;0.85280
947;0.65069;0.85190
948;0.65069;0.85101
949;0.65069;0.85011
950;0.65069;0.84921
951;0.65069;0.84832
952;0.65069;0.84743
953;0.65069;0.84654
954;0.65069;0.84565
955;0.65069;0.84477
956;0.65069;0.84388
957;0.65069;0.84300
958;0.65069;0.84212
959;0.65069;0.84124
960;0.65069;0.84037
961;0.65069;0.83949
962;0.65060;0.83850
963;0.65041;0.83739
964;0.65022;0.83628
965;0.65004;0.83518
966;0.64985;0.83407
967;0.64966;0.83297
968;0.64948;0.83187
969;0.64929;0.83077
970;0.64910;0.82967
971;0.64891;0.82857
972;0.64872;0.82748
973;0.64854;0.82640
974;0.64835;0.82531
975;0.64817;0.82423
976;0.64786;0.82299
977;0.64748;0.82167
978;0.64711;0.82036
979;0.64673;0.81905
980;0.64635;0.81773
981;0.64579;0.81618
982;0.64523;0.81464
983;0.64466;0.81310
984;0.64410;0.81157
985;0.64354;0.81003
986;0.64298;0.80851
987;0.64241;0.80698
988;0.64185;0.80546
989;0.64129;0.80394
990;0.64043;0.80205
991;0.63949;0.80007
992;0.63855;0.79809
993;0.63762;0.79612
994;0.63664;0.79410
995;0.63552;0.79190
996;0.63440;0.78971
997;0.63327;0.78752
998;0.63215;0.78533
999;0.63079;0.78287
1000;0.62926;0.78018
1001;0.62773;0.77751
1002;0.62620;0.77484
1003;0.62448;0.77194
1004;0.62264;0.76890
1005;0.62081;0.76587
1006;0.61883;0.76267
1007;0.61653;0.75909
1008;0.61424;0.75551
1009;0.61143;0.75131
1010;0.60836;0.74681
1011;0.60530;0.74231
1012;0.60224;0.73783
1013;0.59808;0.73201
1014;0.59349;0.72568
1015;0.58890;0.71935
1016;0.58431;0.71304
1017;0.57623;0.70250
1018;0.56704;0.69062
1019;0.55787;0.67877
1020;0.54868;0.66694
1021;0.53949;0.65513
1022;0.53031;0.64335
1023;0.52113;0.63159
1024;0.51194;0.61985
1025;0.50276;0.60814
1026;0.49358;0.59645
1027;0.48439;0.58478
1028;0.47521;0.57314
1029;0.46707;0.56278
1030;0.46249;0.55671
1031;0.45371;0.54562
1032;0.44453;0.53405
1033;0.43535;0.52252
1034;0.42616;0.51100
1035;0.41698;0.49951
1036;0.41070;0.49151
1037;0.40467;0.48382
1038;0.39549;0.47239
1039;0.38784;0.46281
1040;0.38318;0.45681
1041;0.37399;0.44543
1042;0.36499;0.43428
1043;0.36039;0.42841
1044;0.35250;0.41862
1045;0.34515;0.40951
1046;0.34019;0.40323
1047;0.33100;0.39196
1048;0.32532;0.38487
1049;0.31869;0.37667
1050;0.31310;0.36971
