"wavelength (nm)","interpolated Responsivity (A/W)","Quantum Efficiency"
856,0.624,0.9038
857,0.624,0.9028
858,0.625,0.9031
859,0.625,0.9021
860,0.626,0.9025
861,0.626,0.9014
862,0.627,0.9018
863,0.627,0.9008
864,0.628,0.9012
865,0.628,0.9001
866,0.629,0.9005
867,0.63,0.9009
868,0.63,0.8999
869,0.63,0.8988
870,0.631,0.8992
871,0.631,0.8982
872,0.631,0.8972
873,0.632,0.8976
874,0.632,0.8965
875,0.632,0.8955
876,0.633,0.8959
877,0.633,0.8949
878,0.634,0.8953
879,0.634,0.8943
880,0.635,0.8947
881,0.635,0.8936
882,0.636,0.8940
883,0.636,0.8930
884,0.636,0.8920
885,0.637,0.8924
886,0.637,0.8914
887,0.638,0.8918
888,0.638,0.8908
889,0.638,0.8898
890,0.639,0.8902
891,0.639,0.8892
892,0.639,0.8882
893,0.64,0.8886
894,0.64,0.8876
895,0.64,0.8866
896,0.641,0.8870
897,0.641,0.8860
898,0.642,0.8864
899,0.642,0.8854
900,0.643,0.8858
901,0.643,0.8848
902,0.643,0.8838
903,0.644,0.8842
904,0.644,0.8833
905,0.644,0.8823
906,0.645,0.8827
907,0.645,0.8817
908,0.645,0.8807
909,0.645,0.8798
910,0.645,0.8788
911,0.646,0.8792
912,0.646,0.8782
913,0.646,0.8773
914,0.646,0.8763
915,0.646,0.8753
916,0.646,0.8744
917,0.646,0.8734
918,0.647,0.8738
919,0.647,0.8729
920,0.647,0.8719
921,0.647,0.8710
922,0.647,0.8700
923,0.648,0.8704
924,0.648,0.8695
925,0.648,0.8686
926,0.649,0.8690
927,0.649,0.8680
928,0.649,0.8671
929,0.649,0.8662
930,0.649,0.8652
931,0.65,0.8656
932,0.65,0.8647
933,0.65,0.8638
934,0.65,0.8628
935,0.65,0.8619
936,0.65,0.8610
937,0.651,0.8614
938,0.651,0.8605
939,0.651,0.8596
940,0.651,0.8587
941,0.651,0.8577
942,0.651,0.8568
943,0.651,0.8559
944,0.651,0.8550
945,0.651,0.8541
946,0.651,0.8532
947,0.651,0.8523
948,0.651,0.8514
949,0.651,0.8505
950,0.651,0.8496
951,0.651,0.8487
952,0.651,0.8478
953,0.651,0.8469
954,0.651,0.8461
955,0.651,0.8452
956,0.651,0.8443
957,0.651,0.8434
958,0.651,0.8425
959,0.651,0.8416
960,0.651,0.8408
961,0.651,0.8399
962,0.651,0.8390
963,0.651,0.8381
964,0.65,0.8360
965,0.65,0.8351
966,0.65,0.8343
967,0.65,0.8334
968,0.65,0.8325
969,0.65,0.8317
970,0.649,0.8295
971,0.649,0.8287
972,0.649,0.8278
973,0.649,0.8270
974,0.649,0.8261
975,0.648,0.8240
976,0.648,0.8232
977,0.647,0.8211
978,0.647,0.8202
979,0.646,0.8181
980,0.646,0.8173
981,0.645,0.8152
982,0.645,0.8144
983,0.645,0.8135
984,0.644,0.8114
985,0.644,0.8106
986,0.643,0.8085
987,0.643,0.8077
988,0.642,0.8056
989,0.641,0.8036
990,0.641,0.8028
991,0.64,0.8007
992,0.64,0.7999
993,0.639,0.7978
994,0.638,0.7958
995,0.637,0.7937
996,0.635,0.7905
997,0.634,0.7884
998,0.633,0.7864
999,0.632,0.7844
1000,0.63,0.7811
1001,0.629,0.7791
1002,0.627,0.7758
1003,0.625,0.7726
1004,0.624,0.7706
1005,0.622,0.7673
1006,0.62,0.7641
1007,0.617,0.7597
1008,0.615,0.7565
1009,0.613,0.7532
1010,0.61,0.7488
1011,0.607,0.7444
1012,0.603,0.7388
1013,0.6,0.7344
1014,0.597,0.7300
1015,0.59,0.7207
1016,0.585,0.7139
1017,0.581,0.7083
1018,0.572,0.6966
1019,0.564,0.6862
1020,0.555,0.6746
1021,0.547,0.6642
1022,0.537,0.6515
1023,0.525,0.6363
1024,0.519,0.6284
1025,0.507,0.6133
1026,0.501,0.6054
1027,0.49,0.5916
1028,0.483,0.5825
1029,0.473,0.5699
1030,0.466,0.5609
1031,0.455,0.5472
1032,0.449,0.5394
1033,0.438,0.5257
1034,0.431,0.5168
1035,0.425,0.5091
1036,0.414,0.4955
1037,0.407,0.4866
1038,0.401,0.4790
1039,0.394,0.4702
1040,0.387,0.4614
1041,0.377,0.4490
1042,0.37,0.4403
1043,0.364,0.4327
1044,0.357,0.4240
1045,0.35,0.4153
1046,0.344,0.4077
1047,0.337,0.3991
1048,0.331,0.3916
1049,0.324,0.3829
1050,0.318,0.3755
