Wavelength (nm);Interpolated Responsivity (A/W);Quantum Efficiency
1027;0.06192;0.07475
1028;0.06080;0.07332
1029;0.05967;0.07190
1030;0.05855;0.07048
1031;0.05743;0.06906
1032;0.05630;0.06764
1033;0.05518;0.06623
1034;0.05406;0.06482
1035;0.05296;0.06344
1036;0.05189;0.06209
1037;0.05082;0.06075
1038;0.04975;0.05942
1039;0.04868;0.05808
1040;0.04761;0.05675
1041;0.04654;0.05542
1042;0.04547;0.05410
1043;0.04439;0.05277
1044;0.04328;0.05140
1045;0.04216;0.05002
1046;0.04103;0.04864
1047;0.03991;0.04726
1048;0.03878;0.04588
1049;0.03766;0.04451
1050;0.03653;0.04314
